ID,Start time,Completion time,Language,Universidad,Grado,Curso,Edad,Sexo,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,RNPQ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,HC_PAIRS
86,2/13/24 12:12:26,2/13/24 12:19:42,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,21,Mujer,1,0,1,0,1,0,0,1,1,1,1,1,8,5,6,3,5,4,2,4,6,5,6,2,4,5,5,6,68
87,2/13/24 12:12:46,2/13/24 12:19:43,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,20,Mujer,1,0,1,0,1,0,0,1,1,1,1,1,8,5,5,3,5,4,2,4,6,5,6,2,4,5,6,6,66
88,2/13/24 13:16:56,2/13/24 13:25:29,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,45,Hombre,0,0,1,1,1,1,0,1,1,0,1,1,8,1,7,7,7,7,1,7,7,7,7,7,1,7,4,7,96
89,2/13/24 10:45:51,2/13/24 13:44:46,es,Universidad CEU Cardenal Herrera,Fisioterapia,Último curso,26,Mujer,0,0,1,1,1,0,1,1,1,1,1,1,9,2,3,1,6,6,2,4,3,1,6,5,1,5,3,3,61
90,2/13/24 13:46:53,2/13/24 13:51:47,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Farmacia,Primer curso,22,Mujer,0,0,1,1,1,1,0,1,1,1,1,1,9,7,5,5,4,4,4,4,4,7,6,4,4,5,5,5,39
91,2/13/24 14:02:26,2/13/24 14:06:09,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,0,0,1,1,1,1,1,0,7,2,6,4,4,6,5,5,5,5,6,5,2,5,5,5,70
92,2/13/24 15:09:45,2/13/24 15:28:30,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,19,Mujer,0,0,1,0,1,0,0,1,1,0,1,1,6,3,4,3,3,3,4,4,5,3,6,3,2,5,3,2,57
93,2/13/24 15:13:33,2/13/24 15:32:51,es,Universidad CEU Cardenal Herrera,Fisioterapia,Último curso,24,Hombre,0,0,1,1,1,0,1,1,1,1,1,1,9,3,4,3,1,1,2,4,3,4,7,5,5,4,6,3,57
94,2/13/24 15:42:59,2/13/24 15:46:06,es,Universidad CEU San Pablo,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,0,1,1,1,0,1,1,8,5,5,5,4,3,5,3,6,6,3,6,3,4,4,4,62
95,2/13/24 15:53:50,2/13/24 15:59:09,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,18,Hombre,1,0,1,1,1,0,0,1,0,0,1,1,7,5,7,6,3,5,5,6,7,7,6,4,1,6,6,5,71
96,2/13/24 16:10:09,2/13/24 16:21:36,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,19,Hombre,0,0,1,0,1,1,0,0,1,0,0,1,5,4,5,5,5,6,5,4,6,4,5,4,4,3,3,5,68
97,2/13/24 16:29:39,2/13/24 16:36:44,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Mujer,0,0,1,0,0,0,0,1,0,0,0,0,2,4,4,4,4,4,4,4,4,2,4,4,1,2,5,1,45
98,2/13/24 17:26:34,2/13/24 17:31:42,es,Universidad de Alcalá,Fisioterapia,Último curso,24,Mujer,0,0,1,1,1,0,1,1,1,1,1,0,8,7,5,2,2,2,2,3,2,2,2,1,1,2,6,2,35
99,2/13/24 17:42:51,2/13/24 17:48:20,es,Universidad CEU Cardenal Herrera,Fisioterapia,Último curso,27,Mujer,0,0,1,1,1,1,0,1,0,1,1,1,8,7,7,5,7,4,3,6,7,7,6,5,5,6,5,6,80
100,2/13/24 19:43:27,2/13/24 19:47:56,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,0,0,1,0,1,0,1,1,1,6,3,6,4,6,6,2,4,5,6,7,4,5,5,5,5,77
101,2/14/24 7:10:02,2/14/24 7:20:10,es,Universidad CEU Cardenal Herrera,Fisioterapia,Último curso,36,Mujer,0,0,1,1,1,1,1,1,1,1,1,1,10,7,4,5,5,2,4,5,5,7,6,4,2,6,5,7,66
102,2/14/24 11:54:37,2/14/24 11:57:50,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Mujer,0,0,0,1,1,1,1,1,1,0,1,0,7,2,3,4,2,4,4,4,6,4,6,2,2,5,2,2,60
103,2/14/24 13:23:28,2/14/24 13:35:29,en,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,1,1,0,1,1,1,1,9,2,6,4,4,5,2,5,7,6,5,6,5,5,4,5,79
104,2/14/24 18:21:52,2/14/24 18:30:47,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,24,Mujer,1,0,1,0,0,1,1,1,0,0,1,0,6,7,7,3,4,4,1,4,4,4,7,4,3,7,5,1,57
105,2/14/24 18:46:59,2/14/24 18:52:55,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Hombre,0,0,1,1,1,0,0,1,0,0,1,1,6,3,6,4,5,5,1,5,3,7,6,5,3,5,6,3,71
106,2/14/24 20:04:45,2/14/24 20:10:14,es,Universidad Complutense de Madrid,Fisioterapia,Último curso,21,Hombre,0,0,1,1,1,1,1,1,1,1,1,1,10,5,6,5,7,4,5,7,6,7,7,4,3,7,6,5,76
107,2/14/24 22:59:03,2/14/24 23:15:20,es,Universidad CEU Cardenal Herrera,Fisioterapia,Último curso,23,Mujer,0,0,1,1,0,0,0,1,0,1,1,0,5,6,5,2,3,4,5,4,5,2,7,3,2,7,7,3,53
